2025-07-24 02:27:52.343  INFO 16868 --- [RMI TCP Connection(436)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2025-07-24 02:27:52.523  INFO 16868 --- [RMI TCP Connection(436)-127.0.0.1] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2025-07-24 02:27:52.529  INFO 16868 --- [RMI TCP Connection(436)-127.0.0.1] com.zaxxer.hikari.HikariDataSource       : HikariPool-7 - Shutdown initiated...
2025-07-24 02:27:52.531  INFO 16868 --- [RMI TCP Connection(436)-127.0.0.1] com.zaxxer.hikari.HikariDataSource       : HikariPool-7 - Shutdown completed.
2025-07-24 17:08:29.840  INFO 25788 --- [restartedMain] com.e_com.EComApplication                : Starting EComApplication using Java 21.0.6 on Rfs-Marsh with PID 25788 (D:\codearson\E_Com_Soruces\e_com_be\target\classes started by Rifas in D:\codearson\E_Com_Soruces\e_com_be)
2025-07-24 17:08:29.841  INFO 25788 --- [restartedMain] com.e_com.EComApplication                : The following profiles are active: dev
2025-07-24 17:08:29.881  INFO 25788 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-07-24 17:08:29.882  INFO 25788 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-07-24 17:08:33.360  INFO 25788 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-07-24 17:08:33.388  INFO 25788 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 20 ms. Found 0 JPA repository interfaces.
2025-07-24 17:08:33.981  INFO 25788 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2025-07-24 17:08:33.992  INFO 25788 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-07-24 17:08:33.992  INFO 25788 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.55]
2025-07-24 17:08:34.090  INFO 25788 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-07-24 17:08:34.090  INFO 25788 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 4208 ms
2025-07-24 17:08:34.266  INFO 25788 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-07-24 17:08:34.330  INFO 25788 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.6.1.Final
2025-07-24 17:08:34.523  INFO 25788 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-07-24 17:08:34.625  INFO 25788 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2025-07-24 17:08:34.829  INFO 25788 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2025-07-24 17:08:34.848  INFO 25788 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2025-07-24 17:08:35.907  INFO 25788 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-07-24 17:08:35.914  INFO 25788 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-07-24 17:08:36.658  INFO 25788 --- [restartedMain] o.s.s.web.DefaultSecurityFilterChain     : Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@592c9a84, org.springframework.security.web.context.SecurityContextPersistenceFilter@7802312, org.springframework.security.web.header.HeaderWriterFilter@452a1e75, org.springframework.web.filter.CorsFilter@1139c153, org.springframework.security.web.authentication.logout.LogoutFilter@4bb019b3, com.e_com.Service.Utils.JwtCustomFilter@5867d4f9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@32c9bd2e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@c21bb67, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4ffc02d5, org.springframework.security.web.session.SessionManagementFilter@17a17428, org.springframework.security.web.access.ExceptionTranslationFilter@6e651d3c, org.springframework.security.web.access.intercept.AuthorizationFilter@3a8c82fb]
2025-07-24 17:08:36.846  INFO 25788 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2025-07-24 17:08:36.914  INFO 25788 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2025-07-24 17:08:36.921  INFO 25788 --- [restartedMain] com.e_com.EComApplication                : Started EComApplication in 7.477 seconds (JVM running for 8.381)
2025-07-24 17:08:42.129  INFO 25788 --- [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-07-24 17:08:42.129  INFO 25788 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2025-07-24 17:08:42.130  INFO 25788 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2025-07-24 17:08:42.162  INFO 25788 --- [http-nio-8080-exec-1] com.e_com.Service.Utils.JwtCustomFilter  : request enter the custom filter
2025-07-24 17:08:42.162  INFO 25788 --- [http-nio-8080-exec-2] com.e_com.Service.Utils.JwtCustomFilter  : request enter the custom filter
2025-07-24 17:08:42.176  INFO 25788 --- [http-nio-8080-exec-1] c.e.C.ProductCategoryController          : ProductCategoryController.getCategoryTree invoked
2025-07-24 17:08:42.176  INFO 25788 --- [http-nio-8080-exec-2] c.e.C.ProductCategoryController          : ProductCategoryController.getCategoryTree invoked
2025-07-24 17:08:42.176  INFO 25788 --- [http-nio-8080-exec-1] c.e.S.ProductCategoryServiceImpl         : ProductCategoryServiceImpl.getCategoryTree invoked
2025-07-24 17:08:42.176  INFO 25788 --- [http-nio-8080-exec-2] c.e.S.ProductCategoryServiceImpl         : ProductCategoryServiceImpl.getCategoryTree invoked
2025-07-24 17:08:42.176  INFO 25788 --- [http-nio-8080-exec-1] c.e.Service.BL.ProductCategoryServiceBL  : ProductCategoryServiceBL.getCategoryTree() invoked.
2025-07-24 17:08:42.176  INFO 25788 --- [http-nio-8080-exec-2] c.e.Service.BL.ProductCategoryServiceBL  : ProductCategoryServiceBL.getCategoryTree() invoked.
2025-07-24 17:08:56.613  INFO 25788 --- [http-nio-8080-exec-4] com.e_com.Service.Utils.JwtCustomFilter  : request enter the custom filter
2025-07-24 17:08:56.675  INFO 25788 --- [http-nio-8080-exec-4] com.e_com.Controller.UserController      : UserController.getUserByName() invoked
2025-07-24 17:08:56.682  INFO 25788 --- [http-nio-8080-exec-4] com.e_com.ServiceImpl.UserServiceImpl    : UserServiceImpl.login().invoked
2025-07-24 17:08:56.683  INFO 25788 --- [http-nio-8080-exec-4] com.e_com.Service.BL.UserServiceBL       : UserServiceBL.login() invoked
